class,soldDateInQuarter,Avg Sales Price,Avg Sqft,Median Sales Price,# of Sales,Avg Price/Sqft
CondoProperty,2019 Q1,711601.1115973742,741.6148796498906,635000.0,457.0,959.5291722481545
CondoProperty,2020 Q1,861747.631147541,773.5901639344262,740000.0,488.0,1113.9588781283774
CondoProperty,%change Q1,21.099815205898675,4.311575342127827,16.535433070866134,6.783369803063466,16.094321084412442
CondoProperty,2019 Q2,736824.9072784809,741.5632911392405,650840.0,632.0,993.61027721116
CondoProperty,2020 Q2,760447.5268138801,718.4794952681387,693000.0,317.0,1058.412288481634
CondoProperty,%change Q2,3.206001765419564,-3.1128557935545698,6.477782557925149,-49.84177215189873,6.521874094575453
CondoProperty,2019 Q3,733365.6423290203,717.5767097966728,667700.0,541.0,1022.0031284694584
CondoProperty,2020 Q3,726170.0,664.0,731450.0,10.0,1093.629518072289
CondoProperty,%change Q3,-0.9811807253702787,-7.4663390081116106,9.54770106335181,-98.15157116451016,7.008431540723148
ResidentialProperty,2019 Q2,1151000.0,1525.0,1151000.0,2.0,754.7540983606557
ResidentialProperty,2020 Q2,2100000.0,0.0,2100000.0,1.0,inf
ResidentialProperty,%change Q2,82.45004344048654,-100.0,82.45004344048654,-50.0,inf
