class,soldDateInQuarter,Avg Sales Price,Avg Sqft,Median Sales Price,# of Sales,Avg Price/Sqft
CondoProperty,2019 Q1,612002.251497006,869.2095808383234,556000.0,167.0,704.0905496080134
CondoProperty,2020 Q1,710849.8155339806,926.9126213592233,663500.0,206.0,766.9005677057148
CondoProperty,%change Q1,16.15150333110469,6.638564713615702,19.33453237410072,23.35329341317365,8.920730172087875
CondoProperty,2019 Q2,629128.1029411765,872.2536764705883,589000.0,272.0,721.2673559449196
CondoProperty,2020 Q2,683034.5862068966,900.2931034482758,648500.0,116.0,758.6802382365897
CondoProperty,%change Q2,8.568443058529262,3.214595447868307,10.101867572156188,-57.35294117647059,5.187103226466716
ResidentialProperty,2019 Q1,2146853.125,1937.5,2205000.0,32.0,1108.0532258064516
ResidentialProperty,2020 Q1,2113023.529411765,1894.1176470588234,1959000.0,34.0,1115.5714285714287
ResidentialProperty,%change Q1,-1.5757759668927118,-2.2390891840607274,-11.15646258503401,6.25,0.6785055618158786
ResidentialProperty,2019 Q2,2135816.129032258,1101.6129032258063,2138000.0,31.0,1938.8081991215229
ResidentialProperty,2020 Q2,2137350.0,1150.0,2000000.0,20.0,1858.5652173913043
ResidentialProperty,%change Q2,0.07181662067685668,4.392386530014658,-6.454630495790459,-35.483870967741936,-4.138778749057115
ResidentialProperty,2019 Q3,1829080.0,1322.857142857143,1650000.0,35.0,1382.6738660907126
ResidentialProperty,2020 Q3,2365000.0,3250.0,2365000.0,2.0,727.6923076923077
ResidentialProperty,%change Q3,29.299975944190514,145.68034557235418,43.333333333333336,-94.28571428571428,-47.37064715414486
