class,soldDateInQuarter,Avg Sales Price,Avg Sqft,Median Sales Price,# of Sales,Avg Price/Sqft
CondoProperty,2019 Q1,677722.2222222222,754.5555555555555,658500.0,9.0,898.1740538948609
CondoProperty,2020 Q1,1109500.0,1177.5714285714287,915000.0,7.0,942.1933761979861
CondoProperty,%change Q1,63.7101401754242,56.06159412668028,38.95216400911161,-22.22222222222222,4.900979059931521
CondoProperty,2019 Q2,788991.6666666666,944.8333333333334,765500.0,12.0,835.0590933145174
CondoProperty,2020 Q2,902142.8571428572,941.8571428571429,785000.0,7.0,957.8340664340967
CondoProperty,%change Q2,14.341240250892874,-0.31499634604238436,2.547354670150237,-41.666666666666664,14.702549089341765
ResidentialProperty,2019 Q1,2371098.8,1302.5,2200000.0,20.0,1820.4213435700574
ResidentialProperty,2020 Q1,2445901.730769231,1278.8461538461538,2280000.0,26.0,1912.5848120300755
ResidentialProperty,%change Q1,3.1547791584741747,-1.8160342536542196,3.6363636363636376,30.000000000000004,5.062754772984301
ResidentialProperty,2019 Q2,2392130.2325581396,1297.6744186046512,2350000.0,43.0,1843.3978494623655
ResidentialProperty,2020 Q2,2679651.8421052634,1434.2105263157894,2355000.0,19.0,1868.3811009174315
ResidentialProperty,%change Q2,12.019479777221353,10.521599698170148,0.21276595744681437,-55.81395348837209,1.3552826625219616
ResidentialProperty,2019 Q3,2587110.0,1103.3333333333333,2070000.0,30.0,2344.8126888217525
ResidentialProperty,2020 Q3,3020666.6666666665,1416.6666666666667,3380000.0,3.0,2132.235294117647
ResidentialProperty,%change Q3,16.758339099097697,28.398791540785506,63.285024154589365,-90.0,-9.065858254585102
