soldPrice_category, ,# of Sales,avg soldPrice,median soldPrice
.5-.75 M,2019 Q2,722.0,683057.2319944599,695000.0
.5-.75 M,2020 Q2,177.0,697037.8870056497,710000.0
.5-.75 M,19 vs 20,-75.5%,2.0%,2.2%
.75-2 M,2019 Q2,3274,1135047.4118998167,1040000.0
.75-2 M,2020 Q2,1984,1168611.4422883065,1100000.0
.75-2 M,19 vs 20,-39.4%,3.0%,5.8%
> 2 M,2019 Q2,512,2925795.70703125,2600000.0
> 2 M,2020 Q2,323,3021458.9245510837,2590000.0
> 2 M,19 vs 20,-36.9%,3.3%,-0.4%
